Order_ID,Order_Date,Region,Category,Sub_Category,Customer_Gender,Quantity,Unit_Price,Sales_Amount
1001,2023-01-01,East,Clothing,Laptop,Male,2,3725,7450
1002,2023-01-02,West,Electronics,Mobile,Female,4,1816,7264
1003,2023-01-03,North,Electronics,Table,Male,2,4645,9290
1004,2023-01-04,East,Clothing,Table,Female,5,4183,20915
1005,2023-01-05,East,Electronics,Shirt,Male,5,3773,18865
1006,2023-01-06,West,Clothing,Laptop,Female,4,645,2580
1007,2023-01-07,North,Furniture,Jeans,Female,2,3540,7080
1008,2023-01-08,North,Electronics,Shirt,Female,5,1962,9810
1009,2023-01-09,East,Furniture,Laptop,Female,3,2084,6252
1010,2023-01-10,South,Clothing,Shirt,Female,1,982,982
1011,2023-01-11,East,Furniture,Jeans,Male,1,3679,3679
1012,2023-01-12,East,Furniture,Chair,Female,1,1749,1749
1013,2023-01-13,East,Clothing,Chair,Female,2,1130,2260
1014,2023-01-14,East,Furniture,Chair,Female,4,1161,4644
1015,2023-01-15,West,Furniture,Chair,Male,5,4003,20015
1016,2023-01-16,North,Clothing,Mobile,Female,3,3352,10056
1017,2023-01-17,West,Furniture,Chair,Male,3,2966,8898
1018,2023-01-18,West,Clothing,Jeans,Female,2,1487,2974
1019,2023-01-19,West,Furniture,Table,Female,1,2046,2046
1020,2023-01-20,East,Clothing,Table,Male,2,1149,2298
1021,2023-01-21,South,Clothing,Mobile,Female,4,1468,5872
1022,2023-01-22,North,Furniture,Chair,Male,4,3137,12548
1023,2023-01-23,South,Furniture,Chair,Male,5,1600,8000
1024,2023-01-24,West,Furniture,Chair,Female,5,940,4700
1025,2023-01-25,West,Electronics,Shirt,Male,4,1269,5076
1026,2023-01-26,South,Electronics,Laptop,Female,4,1843,7372
1027,2023-01-27,South,Electronics,Shirt,Female,4,4858,19432
1028,2023-01-28,South,Clothing,Laptop,Male,2,4229,8458
1029,2023-01-29,West,Furniture,Chair,Male,4,4406,17624
1030,2023-01-30,West,Clothing,Chair,Male,3,2077,6231
1031,2023-01-31,North,Electronics,Shirt,Male,1,4508,4508
1032,2023-02-01,North,Furniture,Shirt,Female,4,3851,15404
1033,2023-02-02,West,Clothing,Laptop,Female,1,2849,2849
1034,2023-02-03,South,Furniture,Table,Male,2,4102,8204
1035,2023-02-04,South,Clothing,Laptop,Female,1,1741,1741
1036,2023-02-05,North,Furniture,Shirt,Female,2,1625,3250
1037,2023-02-06,West,Electronics,Jeans,Female,3,3101,9303
1038,2023-02-07,North,Electronics,Shirt,Female,2,1690,3380
1039,2023-02-08,North,Furniture,Jeans,Male,2,4631,9262
1040,2023-02-09,East,Clothing,Mobile,Male,5,4948,24740
1041,2023-02-10,East,Electronics,Shirt,Female,4,572,2288
1042,2023-02-11,East,Electronics,Mobile,Male,4,2414,9656
1043,2023-02-12,South,Electronics,Table,Male,3,2972,8916
1044,2023-02-13,West,Furniture,Laptop,Male,3,3546,10638
1045,2023-02-14,West,Furniture,Jeans,Female,4,1207,4828
1046,2023-02-15,West,Clothing,Laptop,Female,5,2304,11520
1047,2023-02-16,West,Clothing,Mobile,Female,4,4213,16852
1048,2023-02-17,East,Clothing,Jeans,Male,5,3064,15320
1049,2023-02-18,South,Furniture,Laptop,Female,3,2975,8925
1050,2023-02-19,South,Furniture,Shirt,Female,1,4110,4110
1051,2023-02-20,East,Clothing,Chair,Male,3,4755,14265
1052,2023-02-21,South,Clothing,Mobile,Female,3,3323,9969
1053,2023-02-22,East,Furniture,Laptop,Female,2,2235,4470
1054,2023-02-23,West,Clothing,Mobile,Male,2,2085,4170
1055,2023-02-24,East,Electronics,Mobile,Male,2,566,1132
1056,2023-02-25,West,Furniture,Jeans,Male,2,3561,7122
1057,2023-02-26,West,Clothing,Jeans,Female,5,2928,14640
1058,2023-02-27,North,Furniture,Chair,Female,4,4653,18612
1059,2023-02-28,East,Electronics,Shirt,Female,1,841,841
1060,2023-03-01,North,Furniture,Mobile,Male,3,3274,9822
1061,2023-03-02,East,Furniture,Laptop,Male,5,3317,16585
1062,2023-03-03,East,Furniture,Table,Female,1,3161,3161
1063,2023-03-04,North,Furniture,Mobile,Female,5,1732,8660
1064,2023-03-05,North,Electronics,Mobile,Male,5,4374,21870
1065,2023-03-06,East,Furniture,Chair,Male,3,2901,8703
1066,2023-03-07,South,Furniture,Shirt,Male,4,1994,7976
1067,2023-03-08,West,Clothing,Table,Male,2,4711,9422
1068,2023-03-09,North,Furniture,Jeans,Female,4,1161,4644
1069,2023-03-10,West,Clothing,Jeans,Male,3,4383,13149
1070,2023-03-11,South,Electronics,Laptop,Female,3,4119,12357
1071,2023-03-12,South,Electronics,Table,Female,3,2368,7104
1072,2023-03-13,South,Electronics,Jeans,Female,1,2834,2834
1073,2023-03-14,North,Electronics,Laptop,Male,4,3874,15496
1074,2023-03-15,South,Clothing,Shirt,Male,4,1516,6064
